period,mode,alpha,sigma,alpha_market,alpha_err,mse,improvement_pct,n_buy,n_sell,signal_strength,avg_buy_dev,avg_sell_dev
44,ET(旧),0.787997,0.171322,0.8645860111543167,0.07658901115431671,2.241e-05,70.605,17,23,40,27.06721042316276,-26.950268933351516
44,G-H,0.796349,0.175563,0.8645860111543167,0.06823701115431668,2.373e-05,68.872,16,24,40,26.876459216936464,-26.587641185385905
44,Smile,0.803148,0.176923,0.8645860111543167,0.061438011154316685,2.27e-05,70.221,16,24,40,26.633975095011994,-27.597235116682857
45,ET(旧),0.772211,0.18109,0.8474356243328801,0.07522462433288013,2.509e-05,71.523,29,29,58,11.974146495929089,-11.085959324753773
45,G-H,0.783427,0.186395,0.8474356243328801,0.06400862433288013,2.538e-05,71.202,30,29,59,12.87472567069628,-9.546254622663417
45,Smile,0.785596,0.186877,0.8474356243328801,0.06183962433288015,2.519e-05,71.413,30,29,59,11.135891002769618,-11.159433555429409
46,ET(旧),0.803573,0.172299,0.8421394179654875,0.03856641796548754,2.101e-05,65.755,29,28,57,13.167580367507911,-12.311423886728742
46,G-H,0.817456,0.177269,0.8421394179654875,0.024683417965487564,2.464e-05,59.843,29,28,57,13.995629464874353,-11.029805499501887
46,Smile,0.81811,0.1774,0.8421394179654875,0.02402941796548752,2.463e-05,59.859,29,28,57,12.6852738606255,-12.372852849680973
47,ET(旧),0.850193,0.185412,0.9251552263763678,0.07496222637636785,2.14e-05,51.252,29,28,57,18.307292207864823,-16.191996445472647
47,G-H,0.864076,0.190183,0.9251552263763678,0.06107922637636787,2.39e-05,45.549,29,28,57,18.901030948414085,-15.237148386198928
47,Smile,0.876,0.192752,0.9251552263763678,0.04915522637636782,2.094e-05,52.3,29,28,57,17.74111194897889,-15.684006388414758
48,ET(旧),0.767243,0.184427,0.8276510645265294,0.06040806452652936,2.901e-05,70.159,30,28,58,8.221237448615177,-8.054364849714421
48,G-H,0.789467,0.191842,0.8276510645265294,0.03818406452652934,3.434e-05,64.679,26,27,53,10.192653391959873,-6.7124222714699995
48,Smile,0.792776,0.192602,0.8276510645265294,0.03487506452652933,3.389e-05,65.144,30,27,57,7.750958017097266,-8.329532813346482
49,ET(旧),0.882216,0.195465,0.9262133201848655,0.04399732018486546,2.148e-05,40.644,29,29,58,12.994685822131265,-13.343517877878714
49,G-H,0.887244,0.19837,0.9262133201848655,0.03896932018486543,2.168e-05,40.092,30,29,59,13.562597001318515,-12.749157253557941
49,Smile,0.888883,0.198734,0.9262133201848655,0.037330320184865484,2.163e-05,40.241,30,29,59,12.65325290073938,-13.525490100309481
